year,category,name,film,winner,gender,gender_source
1929,Actor,Emil Jannings,The Last Command,True,male,category
1929,Actor,Emil Jannings,The Way of All Flesh,True,male,category
1929,Actor,Richard Barthelmess,The Noose,False,male,category
1929,Actor,Richard Barthelmess,The Patent Leather Kid,False,male,category
1929,Actress,Janet Gaynor,7th Heaven,True,female,category
1929,Actress,Janet Gaynor,Street Angel,True,female,category
1929,Actress,Janet Gaynor,Sunrise,True,female,category
1929,Actress,Louise Dresser,A Ship Comes In,False,female,category
1929,Actress,Gloria Swanson,Sadie Thompson,False,female,category
1929,Art Direction,William Cameron Menzies,The Dove,True,male,wikidata
1929,Art Direction,William Cameron Menzies,Tempest,True,male,wikidata
1929,Art Direction,Rochus Gliese,Sunrise,False,male,wikidata
1929,Art Direction,Harry Oliver,7th Heaven,False,male,wikidata
1929,Cinematography,Charles Rosher,Sunrise,True,male,wikidata
1929,Cinematography,Karl Struss,Sunrise,True,male,wikidata
1929,Cinematography,George Barnes,The Devil Dancer,False,male,wikidata
1929,Cinematography,George Barnes,The Magic Flame,False,male,wikidata
1929,Cinematography,George Barnes,Sadie Thompson,False,male,wikidata
1929,Directing (Comedy Picture),Lewis Milestone,Two Arabian Knights,True,male,wikidata
1929,Directing (Comedy Picture),Ted Wilde,Speedy,False,male,wikidata
1929,Directing (Dramatic Picture),Frank Borzage,7th Heaven,True,male,wikidata
1929,Directing (Dramatic Picture),Herbert Brenon,Sorrell and Son,False,male,wikidata
1929,Directing (Dramatic Picture),King Vidor,The Crowd,False,male,wikidata
1929,Engineering Effects,Roy Pomeroy,Wings,True,male,wikidata
1929,Engineering Effects,Ralph Hammeras,,False,male,wikidata
1929,Engineering Effects,Nugent Slaughter,,False,male,wikidata
1929,Outstanding Picture,Paramount Famous Lasky,Wings,True,,non-person
1929,Outstanding Picture,The Caddo Company,The Racket,False,,non-person
1929,Outstanding Picture,Fox,7th Heaven,False,,non-person
1929,Special Award,Special Award,The Circus,True,,non-person
1929,Special Award,Special Award,The Jazz Singer,True,,non-person
1929,Unique and Artistic Picture,Fox,Sunrise,True,,non-person
1929,Unique and Artistic Picture,Metro-Goldwyn-Mayer,The Crowd,False,,non-person
1929,Unique and Artistic Picture,Paramount Famous Lasky,Chang,False,,non-person
1929,Writing (Adaptation),Benjamin Glazer,7th Heaven,True,male,wikidata
1929,Writing (Adaptation),Alfred Cohn,The Jazz Singer,False,male,wikidata
1929,Writing (Adaptation),Anthony Coldeway,Glorious Betsy,False,male,wikidata
1929,Writing (Original Story),Ben Hecht,Underworld,True,male,wikidata
1929,Writing (Original Story),Lajos Biro,The Last Command,False,male,wikidata
1929,Writing (Title Writing),Joseph Farnham,,True,male,wikidata
1929,Writing (Title Writing),Gerald Duffy,The Private Life of Helen of Troy,False,male,wikidata
1929,Writing (Title Writing),George Marion,,False,male,wikidata
1930,Actor,Warner Baxter,In Old Arizona,True,male,category
1930,Actor,George Bancroft,Thunderbolt,False,male,category
1930,Actor,Chester Morris,Alibi,False,male,category
1930,Actor,Paul Muni,The Valiant,False,male,category
1930,Actor,Lewis Stone,The Patriot,False,male,category
1930,Actress,Mary Pickford,Coquette,True,female,category
1930,Actress,Ruth Chatterton,Madame X,False,female,category
1930,Actress,Betty Compson,The Barker,False,female,category
1930,Actress,Jeanne Eagels,The Letter,False,female,category
1930,Actress,Corinne Griffith,The Divine Lady,False,female,category
1930,Actress,Bessie Love,The Broadway Melody,False,female,category
1930,Art Direction,Cedric Gibbons,The Bridge of San Luis Rey,True,male,wikidata
1930,Art Direction,Hans Dreier,The Patriot,False,male,wikidata
