term,z,n_women,pct_women,n_men,pct_men
woman,6.583,38,12.3,34,3.0
fight,4.77,17,5.5,12,1.0
girl,4.696,22,7.1,18,1.6
know,4.063,101,32.8,250,21.9
importantly,3.862,13,4.2,6,0.5
means,3.55,15,4.9,19,1.7
dream,3.441,32,10.4,71,6.2
mic,3.348,1,0.3,3,0.3
hair,3.277,9,2.9,7,0.6
piano,3.189,4,1.3,2,0.2
believe,3.038,33,10.7,81,7.1
role,3.031,12,3.9,11,1.0
microphone,2.977,2,0.6,2,0.2
imagine,2.723,9,2.9,16,1.4
feel,2.701,37,12.0,86,7.5
door,2.63,5,1.6,4,0.3
truly,2.595,21,6.8,37,3.2
brave,2.508,10,3.2,10,0.9
envelope,2.508,2,0.6,5,0.4
news,2.507,5,1.6,1,0.1
home,2.488,27,8.8,53,4.6
wrong,2.447,4,1.3,6,0.5
baby,2.404,9,2.9,8,0.7
supporter,2.382,5,1.6,4,0.3
hate,2.382,5,1.6,4,0.3
goodness,2.382,6,1.9,4,0.3
choice,2.313,5,1.6,6,0.5
casting,2.313,7,2.3,6,0.5
understand,2.296,15,4.9,27,2.4
kindness,2.266,7,2.3,8,0.7
heart,2.266,38,12.3,79,6.9
hire,2.255,4,1.3,1,0.1
handicap,2.255,2,0.6,1,0.1
wardrobe,2.255,4,1.3,1,0.1
lawyer,2.249,4,1.3,3,0.3
grandmother,2.238,5,1.6,8,0.7
dignity,2.238,9,2.9,9,0.8
incredibly,2.217,11,3.6,14,1.2
room,2.173,15,4.9,25,2.2
blow,2.171,5,1.6,5,0.4
need,2.124,22,7.1,46,4.0
count,2.107,4,1.3,2,0.2
guardian,2.107,4,1.3,2,0.2
final,2.107,3,1.0,2,0.2
transform,2.107,4,1.3,2,0.2
nominate,2.096,16,5.2,26,2.3
lead,1.999,14,4.5,20,1.7
list,1.941,9,2.9,14,1.2
grandparent,1.932,3,1.0,1,0.1
disease,1.932,2,0.6,1,0.1
generous,-1.221,2,0.6,18,1.6
freedom,-1.243,0,0.0,20,1.7
musician,-1.274,5,1.6,27,2.4
want,-1.288,103,33.4,381,33.3
student,-1.291,1,0.3,10,0.9
podium,-1.291,1,0.3,10,0.9
fortune,-1.291,1,0.3,9,0.8
survivor,-1.291,1,0.3,8,0.7
time,-1.293,51,16.6,176,15.4
talented,-1.318,12,3.9,55,4.8
carry,-1.335,2,0.6,16,1.4
different,-1.335,2,0.6,15,1.3
opportunity,-1.352,13,4.2,76,6.6
embrace,-1.373,1,0.3,12,1.0
bad,-1.416,2,0.6,17,1.5
pass,-1.416,2,0.6,18,1.6
orchestra,-1.416,2,0.6,15,1.3
moment,-1.447,21,6.8,90,7.9
fabulous,-1.458,3,1.0,20,1.7
particular,-1.471,7,2.3,39,3.4
couple,-1.493,2,0.6,19,1.7
alive,-1.493,2,0.6,19,1.7
confidence,-1.519,1,0.3,15,1.3
belong,-1.541,3,1.0,29,2.5
number,-1.565,2,0.6,20,1.7
talke,-1.586,1,0.3,14,1.2
pull,-1.586,1,0.3,16,1.4
leave,-1.586,1,0.3,15,1.3
speak,-1.587,8,2.6,42,3.7
gratitude,-1.589,8,2.6,46,4.0
lucky,-1.593,10,3.2,40,3.5
country,-1.599,12,3.9,57,5.0
course,-1.626,18,5.8,81,7.1
glad,-1.702,2,0.6,22,1.9
shot,-1.702,2,0.6,20,1.7
act,-1.702,2,0.6,19,1.7
original,-1.708,1,0.3,17,1.5
thank,-1.721,297,96.4,1084,94.8
contribute,-1.735,3,1.0,26,2.3
appreciate,-1.745,5,1.6,32,2.8
boy,-1.749,10,3.2,58,5.1
stay,-1.885,2,0.6,21,1.8
start,-1.946,11,3.6,72,6.3
vision,-2.081,7,2.3,51,4.5
evening,-2.097,7,2.3,46,4.0
mention,-2.314,3,1.0,38,3.3
gentleman,-2.416,13,4.2,86,7.5
business,-2.673,3,1.0,40,3.5
second,-2.776,7,2.3,54,4.7
ago,-3.019,13,4.2,88,7.7
